岗位名称,公司名称,公司性质,公司规模,所属行业,工作城市,薪资区间,经验要求,学历要求,语言要求,职能类别,岗位标签,关键字,职位信息,城市,薪资_千元月,经验_年_数值,经验_年,学历_等级,岗位标签列表,关键字列表
信息技术部-外围业务支持及系统运维岗 ,华宝证券股份有限公司,国企,500-1000人,证券/期货,上海-浦东新区,1.5-2万,2-5年,本科,无要求,运维工程师,五险一金; 年终奖金; 定期体检; 餐饮补贴; 通讯补贴; 交通补贴; 周末双休; 补充公积金; 培训,android; 操作系统; 金融行业; ios; java,岗位职责 1、负责机构交易系统（如：新意,上海,17.5千元/月,3.5,3.5年,3,"['五险一金', '年终奖金', '定期体检', '餐饮补贴', '通讯补贴', '交通补贴', '周末双休', '补充公积金', '培训']","['android', '操作系统', '金融行业', 'ios', 'java']"
3D打印品控负责人 ,上海合合信息科技股份有限公司,已上市,1000-5000人,计算机软件,上海,1.5-2万·13薪,3年及以上,大专,无要求,质量/品质主管,,数据统计; 熟练使用办公软件; AutoCAD; 仪器仪表/工业自动化; 玩具/礼品,职责描述： 1、全面统筹 3D 打印工厂,上海,17.5千元/月,3.0,3.0年,2,[],"['数据统计', '熟练使用办公软件', 'AutoCAD', '仪器仪表/工业自动化', '玩具/礼品']"
网络与信息安全工程师 ,上海卡贝尼精密陶瓷有限公司,民营,150-500人,电子/半导体/集成电路,上海-浦东新区,8千-1.3万,3年及以上,本科,无要求,网络安全工程师,五险一金; 专业培训; 周末双休; 节日福利; 团队聚餐,计算机; 调试; 运维; 网络安全; 防火墙; 性能调优; 网络设备; 负载均衡; 应急预案; 网络工程,1、负责企业整体网络架构的设计、优化与实,上海,10.5千元/月,3.0,3.0年,3,"['五险一金', '专业培训', '周末双休', '节日福利', '团队聚餐']","['计算机', '调试', '运维', '网络安全', '防火墙', '性能调优', '网络设备', '负载均衡', '应急预案', '网络工程']"
信息技术项目管理岗 ,兴业期货有限公司,国企,150-500人,证券/期货,上海-浦东新区,18-25万/年,2年及以上,本科,无要求,项目执行/协调人员,五险一金; 补充医疗保险; 补充公积金; 企业年金; 交通补贴; 餐饮补贴; 通讯补贴; 绩效奖金; 年终奖金; 定期体检,计算机; 数据库; linux; 需求分析; 大数据; ai; 编程语言; 系统上线; 需求管理; 信息技术,岗位职责： （1）负责需求管理工作，协助,上海,17.9千元/月,2.0,2.0年,3,"['五险一金', '补充医疗保险', '补充公积金', '企业年金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","['计算机', '数据库', 'linux', '需求分析', '大数据', 'ai', '编程语言', '系统上线', '需求管理', '信息技术']"
PIM产品信息管理 ,上海欧塑环保科技有限公司,民营,50-150人,机械/设备/重工,上海-奉贤区,1-1.8万,2-3年,本科,英语读写熟练,产品专员,培训,市场营销; 英语; 市场调研; 国际贸易; 市场推广; 商务英语; 产品推广; 竞品分析; 数据整理; 编辑,岗位职责： 1.产品信息管理与发布： -,上海,14.0千元/月,2.5,2.5年,3,['培训'],"['市场营销', '英语', '市场调研', '国际贸易', '市场推广', '商务英语', '产品推广', '竞品分析', '数据整理', '编辑']"
商业公司信息化岗 ,上海寰宇汇商业管理有限公司,已上市,150-500人,房地产开发,上海-普陀区,1.2-1.8万·15薪,3年及以上,本科,无要求,网络工程师,,计算机; 物业; 设备管理; 信息化; 信息系统上线; 能耗; 信息安全管理; 数据治理; 解决方案; 信息技术,【工作职责】 1、系统应用管理：负责统筹,上海,15.0千元/月,3.0,3.0年,3,[],"['计算机', '物业', '设备管理', '信息化', '信息系统上线', '能耗', '信息安全管理', '数据治理', '解决方案', '信息技术']"
信息技术部-数据库管理员 ,太平洋证券股份有限公司,已上市,1000-5000人,证券/期货,上海-浦东新区,1.5-2万,3-4年,硕士,无要求,运维工程师,定期体检; 专业培训; 餐饮补贴; 通讯补贴; 交通补贴; 周末双休,数据库运维; 数据库系统,【岗位职责】 1.负责公司各类数据库的建,上海,17.5千元/月,3.5,3.5年,4,"['定期体检', '专业培训', '餐饮补贴', '通讯补贴', '交通补贴', '周末双休']","['数据库运维', '数据库系统']"
总行-信息科技岗（软件开发管理） ,国泰世华银行（中国）有限公司,外资（非欧美）,150-500人,银行,上海-浦东新区,1.5-3万,3年及以上,本科,无要求,软件工程师,五险一金; 补充医疗保险; 员工旅游; 专业培训; 年终奖金; 定期体检; 餐饮补贴,计算机; 管理; 需求分析; 项目管理; 方案设计; 运维; 软件工程; 项目经理; 系统测试; pmp,工作职责 1.负责承接项目及后续的项目管,上海,22.5千元/月,3.0,3.0年,3,"['五险一金', '补充医疗保险', '员工旅游', '专业培训', '年终奖金', '定期体检', '餐饮补贴']","['计算机', '管理', '需求分析', '项目管理', '方案设计', '运维', '软件工程', '项目经理', '系统测试', 'pmp']"
信息化高级经理 ,上海辰域信息技术有限公司,民营,计算机软件电子技术/半导体/集成电路,,上海-静安区,2-3万·14薪,2年及以上,本科,英语读写熟练,运维工程师,五险一金; 年终奖金; 定期体检; 绩效奖金; 专业培训; 餐饮补贴; 员工旅游; 通讯补贴; 交通补贴; 带薪年假; 节日福利; 周末双休; 五险; 培训,计算机; erp; 医药行业; oa; crm; 信息化; 团队搭建; 信息系统; 运维管理; 信息化管理,岗位职责 1. 负责制定并完善公司信息安,上海,25.0千元/月,2.0,2.0年,3,"['五险一金', '年终奖金', '定期体检', '绩效奖金', '专业培训', '餐饮补贴', '员工旅游', '通讯补贴', '交通补贴', '带薪年假', '节日福利', '周末双休', '五险', '培训']","['计算机', 'erp', '医药行业', 'oa', 'crm', '信息化', '团队搭建', '信息系统', '运维管理', '信息化管理']"
信息化资深经理 ,上海玻璃钢研究院有限公司,民营,150-500人,船舶/航空/航天,上海-奉贤区,1.8-3万,8年及以上,本科,无要求,系统工程师,五险一金; 定期体检; 带薪年假; 交通补贴; 免费班车; 节日福利; 周末双休,erp; 金蝶; mes; plm,岗位职责 1、负责公司整体信息化、数字化,上海,24.0千元/月,8.0,8.0年,3,"['五险一金', '定期体检', '带薪年假', '交通补贴', '免费班车', '节日福利', '周末双休']","['erp', '金蝶', 'mes', 'plm']"
信息化主管 ,上海芬能自动化技术股份有限公司,合资,150-500人,汽车研发/制造,上海-松江区,1-2万,3年及以上,本科,无要求,网络工程师,年终奖金; 专业培训; 定期体检; 员工旅游; 出国机会; 提供工作餐,管理; erp; 团队管理; mes; 微服务; 系统集成; 云计算; pmp; 信息化; 技术选型,核心定位：集团信息化战略的规划者、数字化,上海,15.0千元/月,3.0,3.0年,3,"['年终奖金', '专业培训', '定期体检', '员工旅游', '出国机会', '提供工作餐']","['管理', 'erp', '团队管理', 'mes', '微服务', '系统集成', '云计算', 'pmp', '信息化', '技术选型']"
信息化工程师 ,上海航天裕达科技有限公司,国企,50-150人,仪器仪表/工业自动化,上海-闵行区,18-22万/年,3年及以上,硕士,英语简单沟通/读写,网络工程师,,需求分析; 软件工程; 运维; 信息管理,岗位职责： 1、信息化规划与蓝图搭建：协,上海,16.7千元/月,3.0,3.0年,4,[],"['需求分析', '软件工程', '运维', '信息管理']"
信息化主管 ,上海福柯斯智能科技有限公司,民营,50-150人,仪器仪表/工业自动化,上海-松江区,1.2-1.5万·13薪,8年及以上,本科,无要求,IT技术支持,培训; 五险一金; 通讯补贴; 餐饮补贴; 员工旅游; 交通补贴; 年终奖金; 绩效奖金; 股票期权; 定期体检; 评优评先,办公软件; 计算机; oa; 信息系统; 技术调研; crm; erp; 服务器; 网络技术; 操作系统,工作内容： 1．负责公司整体信息化安全建,上海,13.5千元/月,8.0,8.0年,3,"['培训', '五险一金', '通讯补贴', '餐饮补贴', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '股票期权', '定期体检', '评优评先']","['办公软件', '计算机', 'oa', '信息系统', '技术调研', 'crm', 'erp', '服务器', '网络技术', '操作系统']"
商业信息化主管/经理 ,上海寰宇汇商业管理有限公司,已上市,150-500人,房地产开发,上海,1.2-1.8万·15薪,3年及以上,本科,无要求,网络工程师,培训,计算机; 信息化; 信息技术; 系统落地; 信息安全管理; 信息系统上线; 智能化,【工作职责】 1、系统应用管理：负责统筹,上海,15.0千元/月,3.0,3.0年,3,['培训'],"['计算机', '信息化', '信息技术', '系统落地', '信息安全管理', '信息系统上线', '智能化']"
后勤信息管理员（仓管+IT） ,上海人寿堂养老服务（集团）有限公司,民营,150-500人,医疗/护理/卫生,上海-虹口区,5.5-8千,1年及以上,高中,无要求,仓库管理员,五险一金; 免费班车; 餐饮补贴; 提供住宿,it; 仓库管理; 后勤; 固定资产登记,一、岗位职责 1. 负责养老院物资入库、,上海,31.5千元/月,1.0,1.0年,1,"['五险一金', '免费班车', '餐饮补贴', '提供住宿']","['it', '仓库管理', '后勤', '固定资产登记']"
信息娱乐系统项目管理工程师(J11748) ,爱达克车辆设计（上海）有限公司,外资（欧美）,500-1000人,汽车研发/制造,上海-嘉定区,1.2-1.5万·13薪,3年,本科,英语简单沟通/读写,汽车项目管理,新能源; 五险一金; 补充医疗保险; 免费班车; 员工旅游; 餐饮补贴; 通讯补贴; 专业培训; 年终奖金; 绩效奖金; 定期体检; 子女医疗保险; 带薪年假; 有餐补; 交通补贴,信息娱乐系统; 项目计划; 进度管理; 座舱项目管理; 技术项目管理,工作职责:  Infotainment,上海,13.5千元/月,3.0,3.0年,3,"['新能源', '五险一金', '补充医疗保险', '免费班车', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金', '定期体检', '子女医疗保险', '带薪年假', '有餐补', '交通补贴']","['信息娱乐系统', '项目计划', '进度管理', '座舱项目管理', '技术项目管理']"
信息化高级主管 ,上海格思航天科技有限公司,国企,船舶/航空/航天,,上海-松江区,2.5-3.5万·13薪,8年及以上,硕士,无要求,网络工程师,,培训; 计算机; 数据分析; 需求分析; 项目管理; erp; 开发; 自动化; 汽车; 运维,岗位职责： 1. 对接研发、制造、供应链,上海,30.0千元/月,8.0,8.0年,4,[],"['培训', '计算机', '数据分析', '需求分析', '项目管理', 'erp', '开发', '自动化', '汽车', '运维']"
信息化项目工程师 ,上海新微科技集团有限公司,国企,50-150人,电子/半导体/集成电路,上海-长宁区,2-3万,5年及以上,本科,无要求,项目经理,培训; 五险一金; 补充医疗保险; 补充公积金; 交通补贴; 餐饮补贴; 通讯补贴; 专业培训; 定期体检; 绩效奖金; 年终奖金,信息系统项目管理师; MES/WMS/CRM/SRM/QMS/SAP等系统实施; 电子/半导体/集成电路,一、主要职责 1.信息化规划与方案设计 ,上海,25.0千元/月,5.0,5.0年,3,"['培训', '五险一金', '补充医疗保险', '补充公积金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '定期体检', '绩效奖金', '年终奖金']","['信息系统项目管理师', 'MES/WMS/CRM/SRM/QMS/SAP等系统实施', '电子/半导体/集成电路']"
信息化部经理（IT经理） ,上海普利森配料系统有限公司,外资（欧美）,少于50人,机械/设备/重工,上海-闵行区,1.8-2.5万,8年及以上,本科,英语简单沟通/读写,技术经理,五险一金; 年终奖金; 定期体检; 带薪年假; 餐饮补贴; 补充医疗保险; 节日福利; 周末双休; 技能培训; 免费工作餐,信息技术; 制度建设; 进度控制; 需求调研; 团队管理; oa; erp; crm; 供应商管理; 风险管理,全面负责公司信息化建设的规划、实施、维护,上海,21.5千元/月,8.0,8.0年,3,"['五险一金', '年终奖金', '定期体检', '带薪年假', '餐饮补贴', '补充医疗保险', '节日福利', '周末双休', '技能培训', '免费工作餐']","['信息技术', '制度建设', '进度控制', '需求调研', '团队管理', 'oa', 'erp', 'crm', '供应商管理', '风险管理']"
信息与数字化中心—IT实施交付 ,东方有线网络有限公司,国企,1000-5000人,运营商/增值服务,上海-浦东新区,12-19万/年,2年及以上,本科,无要求,网络工程师,五险一金; 年终奖金; 专业培训; 餐饮补贴; 节日福利; 补充医疗保险; 做五休二; 补充公积金; 培训,数据库; crm; 中间件; 订单管理; 营销活动; 变更管理; 数据提取; 数据查询; 业务决策; 计费,岗位职责 1、根据业务部门需求，在业务支,上海,12.9千元/月,2.0,2.0年,3,"['五险一金', '年终奖金', '专业培训', '餐饮补贴', '节日福利', '补充医疗保险', '做五休二', '补充公积金', '培训']","['数据库', 'crm', '中间件', '订单管理', '营销活动', '变更管理', '数据提取', '数据查询', '业务决策', '计费']"
Finance & IT Manager财务与信息技术经理 ,上海耀源精机有限公司,外资（欧美）,150-500人,机械/设备/重工,上海-松江区,2.2-2.5万,7年及以上,本科,英语听说读写流利,财务经理,五险一金; 绩效奖金; 年终奖金; 专业培训; 带薪年假; 节日福利; 全勤奖; 培训,总账会计; 金蝶; 记账会计; 外勤会计; 主管会计; 往来账会计; 海外会计; 应收应付会计; 现金会计,EN:Reporting to the ,上海,23.5千元/月,7.0,7.0年,3,"['五险一金', '绩效奖金', '年终奖金', '专业培训', '带薪年假', '节日福利', '全勤奖', '培训']","['总账会计', '金蝶', '记账会计', '外勤会计', '主管会计', '往来账会计', '海外会计', '应收应付会计', '现金会计']"
资深BMS软件工程师(J10521) ,上海易景信息科技股份有限公司,民营,500-1000人,通信/网络设备,上海-闵行区,1.5-2.5万,3年及以上,本科,无要求,嵌入式软件开发,五险一金; 员工旅游; 专业培训; 餐饮补贴; 绩效奖金; 年终奖金; 定期体检,消费电子类（平板电脑/智能手机/显示屏等）; 通信设备/智能硬件,工作职责: 1. 负责电池管理系统（BM,上海,20.0千元/月,3.0,3.0年,3,"['五险一金', '员工旅游', '专业培训', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检']","['消费电子类（平板电脑/智能手机/显示屏等）', '通信设备/智能硬件']"
